outer_test_load,C,inner_val_load,n_files,macro_f1,balanced_accuracy,accuracy,min_class_recall,precision_OR,recall_OR,f1_OR,support_OR,precision_IR,recall_IR,f1_IR,support_IR,precision_B,recall_B,f1_B,support_B,precision_N,recall_N,f1_N,support_N
2,1.0,1,14,0.8869047619047619,0.9285714285714286,0.8571428571428571,0.7142857142857143,1.0,0.7142857142857143,0.8333333333333334,7,0.75,1.0,0.8571428571428571,3,0.75,1.0,0.8571428571428571,3,1.0,1.0,1.0,1
2,1.0,3,14,0.945054945054945,0.9642857142857143,0.9285714285714286,0.8571428571428571,1.0,0.8571428571428571,0.9230769230769231,7,1.0,1.0,1.0,3,0.75,1.0,0.8571428571428571,3,1.0,1.0,1.0,1
2,10.0,0,14,0.5238095238095237,0.5476190476190476,0.7142857142857143,0.0,0.8571428571428571,0.8571428571428571,0.8571428571428571,7,0.5,0.6666666666666666,0.5714285714285714,3,0.6666666666666666,0.6666666666666666,0.6666666666666666,3,0.0,0.0,0.0,1
2,10.0,1,14,0.8232600732600732,0.8452380952380952,0.7857142857142857,0.6666666666666666,0.8333333333333334,0.7142857142857143,0.7692307692307693,7,0.6666666666666666,0.6666666666666666,0.6666666666666666,3,0.75,1.0,0.8571428571428571,3,1.0,1.0,1.0,1
2,10.0,3,14,0.86875,0.8333333333333333,0.8571428571428571,0.6666666666666666,0.7777777777777778,1.0,0.875,7,1.0,0.6666666666666666,0.8,3,1.0,0.6666666666666666,0.8,3,1.0,1.0,1.0,1
3,0.1,0,14,0.5238095238095237,0.5476190476190476,0.7142857142857143,0.0,0.8571428571428571,0.8571428571428571,0.8571428571428571,7,0.6666666666666666,0.6666666666666666,0.6666666666666666,3,0.5,0.6666666666666666,0.5714285714285714,3,0.0,0.0,0.0,1
3,0.1,1,14,0.945054945054945,0.9642857142857143,0.9285714285714286,0.8571428571428571,1.0,0.8571428571428571,0.9230769230769231,7,1.0,1.0,1.0,3,0.75,1.0,0.8571428571428571,3,1.0,1.0,1.0,1
3,0.1,2,14,0.8785714285714286,0.8809523809523809,0.8571428571428571,0.6666666666666666,0.8571428571428571,0.8571428571428571,0.8571428571428571,7,1.0,0.6666666666666666,0.8,3,0.75,1.0,0.8571428571428571,3,1.0,1.0,1.0,1
3,1.0,0,14,0.6142857142857143,0.6309523809523809,0.7857142857142857,0.0,0.75,0.8571428571428571,0.8,7,1.0,0.6666666666666666,0.8,3,0.75,1.0,0.8571428571428571,3,0.0,0.0,0.0,1
3,1.0,1,14,0.945054945054945,0.9642857142857143,0.9285714285714286,0.8571428571428571,1.0,0.8571428571428571,0.9230769230769231,7,1.0,1.0,1.0,3,0.75,1.0,0.8571428571428571,3,1.0,1.0,1.0,1
3,1.0,2,14,0.8785714285714286,0.8809523809523809,0.8571428571428571,0.6666666666666666,0.8571428571428571,0.8571428571428571,0.8571428571428571,7,1.0,0.6666666666666666,0.8,3,0.75,1.0,0.8571428571428571,3,1.0,1.0,1.0,1
3,10.0,0,14,0.6142857142857143,0.6309523809523809,0.7857142857142857,0.0,0.75,0.8571428571428571,0.8,7,1.0,0.6666666666666666,0.8,3,0.75,1.0,0.8571428571428571,3,0.0,0.0,0.0,1
3,10.0,1,14,0.945054945054945,0.9642857142857143,0.9285714285714286,0.8571428571428571,1.0,0.8571428571428571,0.9230769230769231,7,1.0,1.0,1.0,3,0.75,1.0,0.8571428571428571,3,1.0,1.0,1.0,1
3,10.0,2,14,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7,1.0,1.0,1.0,3,1.0,1.0,1.0,3,1.0,1.0,1.0,1
